country_code,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
MNE,,,,,,,,,,,,,6,,,,,,,,,4,,,,,,,,
MNG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,
MSR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MTQ,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
MUS,,,,,,,,,,,,,,,,,,,,,,2,,,2,,,2,,8
MYS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MYT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NIC,,,,,,,,,,,,,,,,,,2,,,,2,2,2,,,,,,
NLD,,,,,,,,,6,,4,4,2,8,8,4,2,24,14,12,4,16,2,18,54,102,22,110,194,
NOR,,,,,,,,,,,,2,2,,2,2,2,4,,4,,,,12,44,48,34,94,22,
NZL,,,,,,,,,,,,,2,,2,8,4,8,2,6,8,8,6,10,34,16,44,,,
OMN,,,,,,,,,,,,,,,,,,,,,,,4,,,,4,,,
PAN,,,,,,,,,,,,28,4,,,,,,,,,2,2,,,,2,,,
PER,,,,,,,,,,,,2,2,8,2,8,,,6,8,16,102,36,6,10,58,18,24,,
PHL,,,,,,,,,,,,26,36,38,14,14,,,10,12,6,4,6,2,,,,,,
POL,,,,,,,,,,,,18,38,2,2,20,4,6,,,,122,42,156,4,194,18,16,,
PRI,,,,,,,,,,,,,,,,,,,,,,16,2,2,6,12,30,52,98,
PRT,,,,,,,,,,,,,,,,,,,,,,,,,,6,,28,158,
PRY,,,,,,,,,,,,,2,,,,,,2,,2,120,18,12,24,50,26,44,118,
PSE,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,24,6,18,26,
QAT,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,
REU,,,,,,,,,,,,,,,,2,,,,,,,,,,,2,,,
ROU,,,,,,,,,,,,50,24,28,16,8,10,4,18,26,8,70,60,42,10,24,30,38,102,
SAU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCG,,,,,,,,,,,4,,6,,,,,,,,,,,,,,,,,
SGP,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,
SLV,,,,,,,,,,,2,2,2,,,,,,,,,,,,,,,,,
SRB,,,,,,,,,,,4,,,,,,,2,,,,76,42,48,,12,6,30,,
SUR,,,,,,,,,10,2,2,2,,,,,,,,,,4,,,,,,,,
